engine,vox_per_chunk,num_chunks,time,cpu_count,memory_size,num_vox,avg_mem,mem_useage,model
ray,217843,2,97.07317280769348,16,32805896192,435686,15.396418897411491,"[14.46213150024414, 15.05002212524414, 15.410346984863281, 15.410587310791016, 15.410575866699219, 15.410575866699219, 15.410575866699219, 15.410308837890625, 15.410396575927734, 15.410392761230469, 15.410411834716797, 15.410404205322266, 15.410404205322266, 15.410404205322266, 15.410404205322266, 15.410404205322266, 15.410385131835938, 15.412788391113281, 15.41495132446289, 15.417743682861328, 15.420341491699219, 15.423465728759766, 15.425861358642578, 15.42874526977539, 15.431148529052734, 15.434993743896484, 15.438838958740234, 15.443397521972656, 15.447147369384766, 15.448829650878906, 15.450271606445312, 15.451915740966797, 15.454063415527344, 15.457908630371094, 15.462471008300781, 15.466556549072266, 15.470874786376953, 15.474720001220703, 15.47952651977539, 15.483131408691406, 15.486976623535156, 15.492015838623047, 15.495861053466797, 15.50042724609375, 15.504512786865234, 15.50811767578125, 15.512683868408203, 15.516288757324219, 15.52060317993164, 15.525650024414062, 15.529014587402344, 15.533821105957031, 15.53765869140625, 15.542945861816406, 15.546066284179688, 15.550151824951172, 15.554237365722656, 15.55832290649414, 15.562400817871094, 15.56600570678711, 15.571277618408203, 15.575363159179688, 15.5782470703125, 15.582572937011719, 15.586166381835938, 15.634471893310547, 15.7996826171875, 15.863548278808594, 15.865943908691406, 15.76607894897461, 14.824974060058594, 14.824974060058594, 14.847564697265625, 14.863643646240234, 14.898971557617188, 15.011604309082031, 15.02740478515625, 15.027721405029297, 13.71469497680664]",ConstrainedSphericalDeconvModel
ray,217843,2,97.13983416557312,16,32805896192,435686,14.571601629257202,"[13.713302612304688, 14.288654327392578, 14.648990631103516, 14.648990631103516, 14.648990631103516, 14.64920425415039, 14.64919662475586, 14.64919662475586, 14.606498718261719, 14.606178283691406, 14.606178283691406, 14.606170654296875, 14.606170654296875, 14.606170654296875, 14.606170654296875, 14.606170654296875, 14.606163024902344, 14.606163024902344, 14.606163024902344, 14.606163024902344, 14.606403350830078, 14.606391906738281, 14.606365203857422, 14.606365203857422, 14.606365203857422, 14.606365203857422, 14.606365203857422, 14.60635757446289, 14.60635757446289, 14.606597900390625, 14.498981475830078, 14.497730255126953, 14.497730255126953, 14.4976806640625, 14.4976806640625, 14.497665405273438, 14.497665405273438, 14.497905731201172, 14.497894287109375, 14.497886657714844, 14.497856140136719, 14.497734069824219, 14.49771499633789, 14.49771499633789, 14.49770736694336, 14.49770736694336, 14.498180389404297, 14.498180389404297, 14.498180389404297, 14.498180389404297, 14.498180389404297, 14.498172760009766, 14.498172760009766, 14.498172760009766, 14.498172760009766, 14.498165130615234, 14.498165130615234, 14.498165130615234, 14.498405456542969, 14.498405456542969, 14.498405456542969, 14.498287200927734, 14.498287200927734, 14.498287200927734, 14.498287200927734, 14.50405502319336, 14.575904846191406, 14.707256317138672, 14.646854400634766, 14.649730682373047, 14.722824096679688, 14.775215148925781, 14.846588134765625, 14.869171142578125, 14.973861694335938, 15.004142761230469, 15.026252746582031, 15.025989532470703, 15.025901794433594, 13.70785140991211]",ConstrainedSphericalDeconvModel
ray,217843,2,96.39158463478088,16,32805896192,435686,14.640010927930291,"[13.707832336425781, 14.283252716064453, 14.64358901977539, 14.64349365234375, 14.64346694946289, 14.64346694946289, 14.643932342529297, 14.643932342529297, 14.644168853759766, 14.644168853759766, 14.644168853759766, 14.643928527832031, 14.6439208984375, 14.6439208984375, 14.6439208984375, 14.6439208984375, 14.6439208984375, 14.643913269042969, 14.643913269042969, 14.643913269042969, 14.643913269042969, 14.643913269042969, 14.643913269042969, 14.643901824951172, 14.643901824951172, 14.643901824951172, 14.643901824951172, 14.643901824951172, 14.643890380859375, 14.643890380859375, 14.643890380859375, 14.643890380859375, 14.643890380859375, 14.643882751464844, 14.643882751464844, 14.643882751464844, 14.643882751464844, 14.643512725830078, 14.643753051757812, 14.643753051757812, 14.643753051757812, 14.643753051757812, 14.643745422363281, 14.64373779296875, 14.643730163574219, 14.64371109008789, 14.64371109008789, 14.64371109008789, 14.64371109008789, 14.64370346069336, 14.64370346069336, 14.64370346069336, 14.64370346069336, 14.64370346069336, 14.643917083740234, 14.618675231933594, 14.618675231933594, 14.618675231933594, 14.591995239257812, 14.591995239257812, 14.591976165771484, 14.591976165771484, 14.591976165771484, 14.591724395751953, 14.5916748046875, 14.5916748046875, 14.664485931396484, 14.691314697265625, 14.634037017822266, 14.634037017822266, 14.700523376464844, 14.744983673095703, 14.755790710449219, 14.827407836914062, 14.844711303710938, 14.948211669921875, 14.975601196289062, 15.006843566894531, 15.006832122802734, 15.006645202636719, 13.694446563720703]",ConstrainedSphericalDeconvModel
ray,217843,2,96.69250631332397,16,32805896192,435686,14.622828435897826,"[13.69504165649414, 14.269977569580078, 14.63052749633789, 14.63052749633789, 14.63052749633789, 14.63051986694336, 14.630508422851562, 14.630508422851562, 14.630508422851562, 14.630508422851562, 14.630500793457031, 14.630500793457031, 14.630500793457031, 14.630500793457031, 14.630260467529297, 14.6302490234375, 14.6302490234375, 14.629997253417969, 14.629997253417969, 14.629997253417969, 14.629993438720703, 14.629993438720703, 14.629974365234375, 14.629974365234375, 14.62997055053711, 14.629878997802734, 14.630081176757812, 14.630081176757812, 14.630073547363281, 14.630073547363281, 14.63031005859375, 14.63031005859375, 14.63031005859375, 14.63031005859375, 14.630302429199219, 14.630062103271484, 14.630062103271484, 14.62982177734375, 14.629798889160156, 14.629798889160156, 14.62978744506836, 14.62978744506836, 14.62978744506836, 14.62978744506836, 14.62978744506836, 14.629779815673828, 14.629779815673828, 14.629776000976562, 14.597091674804688, 14.597091674804688, 14.596965789794922, 14.596961975097656, 14.596961975097656, 14.596961975097656, 14.596961975097656, 14.596954345703125, 14.56643295288086, 14.566673278808594, 14.566673278808594, 14.566673278808594, 14.56661605834961, 14.566608428955078, 14.566368103027344, 14.566368103027344, 14.566368103027344, 14.575019836425781, 14.665576934814453, 14.687374114990234, 14.633155822753906, 14.63315200805664, 14.701557159423828, 14.753700256347656, 14.829402923583984, 14.852474212646484, 14.957630157470703, 14.986358642578125, 15.00918960571289, 15.009315490722656, 15.009529113769531, 13.69674301147461]",ConstrainedSphericalDeconvModel
ray,217843,2,96.7178168296814,16,32805896192,435686,14.620109699390552,"[13.696502685546875, 14.271434783935547, 14.631771087646484, 14.631771087646484, 14.631771087646484, 14.631771087646484, 14.631771087646484, 14.631763458251953, 14.631763458251953, 14.631763458251953, 14.631763458251953, 14.631763458251953, 14.631755828857422, 14.631755828857422, 14.63167953491211, 14.63167953491211, 14.63167953491211, 14.63167953491211, 14.63167953491211, 14.631671905517578, 14.631671905517578, 14.631671905517578, 14.631668090820312, 14.631664276123047, 14.631664276123047, 14.631664276123047, 14.631904602050781, 14.63189697265625, 14.631881713867188, 14.631881713867188, 14.631881713867188, 14.631881713867188, 14.631874084472656, 14.631874084472656, 14.631874084472656, 14.60519790649414, 14.60519790649414, 14.60519027709961, 14.60519027709961, 14.605060577392578, 14.605060577392578, 14.605060577392578, 14.605060577392578, 14.605060577392578, 14.60504150390625, 14.60504150390625, 14.60504150390625, 14.604972839355469, 14.604900360107422, 14.605140686035156, 14.605133056640625, 14.605133056640625, 14.605365753173828, 14.605365753173828, 14.576766967773438, 14.576766967773438, 14.576759338378906, 14.576759338378906, 14.576759338378906, 14.576759338378906, 14.576759338378906, 14.576751708984375, 14.576751708984375, 14.576751708984375, 14.576751708984375, 14.576751708984375, 14.657974243164062, 14.681686401367188, 14.626331329345703, 14.626331329345703, 14.680137634277344, 14.725746154785156, 14.743038177490234, 14.819461822509766, 14.83724594116211, 14.940021514892578, 14.966686248779297, 14.999370574951172, 14.999259948730469, 14.999214172363281, 13.69192886352539]",ConstrainedSphericalDeconvModel
serial,43568,10,736.77783036232,16,32805896192,435686,13.581274182900138,"[13.690601348876953, 13.689666748046875, 13.68954086303711, 13.68954086303711, 13.68954086303711, 13.68954086303711, 13.68954086303711, 13.689521789550781, 13.689521789550781, 13.689517974853516, 13.689441680908203, 13.689388275146484, 13.68930435180664, 13.68929672241211, 13.68929672241211, 13.68929672241211, 13.689289093017578, 13.689289093017578, 13.689289093017578, 13.689289093017578, 13.689289093017578, 13.689281463623047, 13.689216613769531, 13.689216613769531, 13.689216613769531, 13.689216613769531, 13.689216613769531, 13.689208984375, 13.689208984375, 13.689208984375, 13.689208984375, 13.689208984375, 13.689201354980469, 13.689201354980469, 13.689201354980469, 13.689197540283203, 13.689197540283203, 13.689189910888672, 13.689189910888672, 13.689189910888672, 13.689189910888672, 13.689189910888672, 13.689189910888672, 13.68918228149414, 13.68966293334961, 13.68966293334961, 13.68966293334961, 13.68966293334961, 13.689655303955078, 13.689651489257812, 13.689651489257812, 13.68963623046875, 13.689632415771484, 13.689632415771484, 13.689624786376953, 13.689624786376953, 13.689563751220703, 13.689563751220703, 13.689563751220703, 13.68886947631836, 13.688835144042969, 13.688835144042969, 13.688621520996094, 13.688621520996094, 13.688617706298828, 13.688617706298828, 13.688617706298828, 13.6885986328125, 13.6885986328125, 13.6885986328125, 13.688568115234375, 13.68851089477539, 13.68851089477539, 13.68850326538086, 13.68850326538086, 13.688499450683594, 13.688499450683594, 13.688499450683594, 13.688499450683594, 13.688499450683594, 13.688491821289062, 13.688488006591797, 13.688488006591797, 13.688488006591797, 13.688488006591797, 13.688480377197266, 13.688480377197266, 13.688480377197266, 13.688480377197266, 13.688480377197266, 13.688468933105469, 13.688468933105469, 13.688468933105469, 13.688468933105469, 13.688468933105469, 13.688461303710938, 13.688461303710938, 13.688461303710938, 13.688461303710938, 13.688461303710938, 13.688453674316406, 13.688453674316406, 13.688453674316406, 13.68844985961914, 13.68844985961914, 13.688678741455078, 13.688678741455078, 13.688678741455078, 13.688678741455078, 13.688678741455078, 13.688671112060547, 13.68865966796875, 13.688644409179688, 13.688644409179688, 13.688644409179688, 13.688640594482422, 13.688640594482422, 13.68863296508789, 13.68863296508789, 13.68863296508789, 13.68863296508789, 13.68863296508789, 13.688369750976562, 13.688369750976562, 13.688369750976562, 13.688369750976562, 13.688369750976562, 13.688350677490234, 13.688350677490234, 13.68832778930664, 13.68832015991211, 13.688209533691406, 13.688209533691406, 13.688201904296875, 13.688678741455078, 13.688678741455078, 13.688678741455078, 13.688671112060547, 13.688671112060547, 13.688671112060547, 13.688671112060547, 13.688671112060547, 13.688671112060547, 13.688663482666016, 13.68865966796875, 13.688636779785156, 13.688636779785156, 13.688636779785156, 13.688636779785156, 13.688629150390625, 13.688629150390625, 13.688629150390625, 13.688629150390625, 13.68862533569336, 13.68862533569336, 13.688617706298828, 13.688617706298828, 13.688617706298828, 13.688617706298828, 13.688617706298828, 13.688610076904297, 13.688610076904297, 13.688610076904297, 13.688610076904297, 13.688610076904297, 13.688602447509766, 13.688602447509766, 13.688602447509766, 13.688602447509766, 13.688602447509766, 13.688346862792969, 13.688339233398438, 13.688339233398438, 13.688339233398438, 13.688339233398438, 13.688339233398438, 13.688331604003906, 13.68832778930664, 13.68832778930664, 13.68832778930664, 13.68832778930664, 13.68820571899414, 13.687942504882812, 13.687942504882812, 13.687942504882812, 13.687942504882812, 13.687942504882812, 13.687923431396484, 13.687923431396484, 13.68790054321289, 13.687847137451172, 13.687820434570312, 13.687820434570312, 13.687812805175781, 13.687812805175781, 13.687812805175781, 13.687812805175781, 13.687812805175781, 13.68780517578125, 13.68780517578125, 13.687801361083984, 13.687801361083984, 13.687801361083984, 13.687797546386719, 13.687789916992188, 13.687789916992188, 13.687789916992188, 13.687789916992188, 13.687789916992188, 13.687782287597656, 13.687782287597656, 13.687782287597656, 13.687782287597656, 13.687782287597656, 13.687774658203125, 13.687774658203125, 13.687774658203125, 13.687774658203125, 13.687774658203125, 13.687767028808594, 13.687767028808594, 13.687767028808594, 13.687767028808594, 13.687767028808594, 13.687992095947266, 13.687992095947266, 13.687992095947266, 13.687992095947266, 13.687992095947266, 13.687984466552734, 13.687976837158203, 13.687969207763672, 13.687950134277344, 13.687950134277344, 13.687950134277344, 13.687950134277344, 13.687950134277344, 13.687950134277344, 13.688179016113281, 13.542301177978516, 13.542301177978516, 13.542293548583984, 13.542293548583984, 13.542293548583984, 13.542293548583984, 13.542369842529297, 13.542354583740234, 13.542354583740234, 13.542354583740234, 13.54233169555664, 13.542232513427734, 13.542224884033203, 13.542224884033203, 13.542224884033203, 13.542221069335938, 13.542221069335938, 13.542213439941406, 13.542213439941406, 13.542213439941406, 13.542213439941406, 13.542213439941406, 13.542213439941406, 13.542205810546875, 13.542205810546875, 13.542205810546875, 13.542205810546875, 13.542205810546875, 13.542198181152344, 13.542198181152344, 13.542198181152344, 13.542198181152344, 13.542198181152344, 13.542198181152344, 13.542068481445312, 13.542068481445312, 13.542068481445312, 13.542068481445312, 13.542068481445312, 13.542060852050781, 13.54205322265625, 13.54205322265625, 13.54205322265625, 13.54205322265625, 13.54205322265625, 13.536979675292969, 13.536979675292969, 13.536979675292969, 13.536979675292969, 13.536979675292969, 13.536972045898438, 13.53696060180664, 13.53696060180664, 13.53696060180664, 13.53696060180664, 13.53695297241211, 13.53695297241211, 13.53695297241211, 13.53695297241211, 13.53695297241211, 13.536823272705078, 13.536823272705078, 13.536933898925781, 13.536933898925781, 13.536933898925781, 13.53692626953125, 13.53692626953125, 13.536907196044922, 13.536907196044922, 13.536903381347656, 13.536884307861328, 13.53676986694336, 13.53676986694336, 13.536766052246094, 13.536762237548828, 13.536762237548828, 13.53664779663086, 13.53664779663086, 13.53664779663086, 13.53664779663086, 13.53664779663086, 13.536640167236328, 13.536640167236328, 13.536640167236328, 13.536640167236328, 13.536567687988281, 13.536567687988281, 13.53656005859375, 13.53656005859375, 13.53656005859375, 13.53656005859375, 13.53656005859375, 13.536552429199219, 13.536552429199219, 13.536552429199219, 13.536548614501953, 13.536548614501953, 13.536548614501953, 13.536540985107422, 13.536476135253906, 13.536476135253906, 13.536476135253906, 13.536476135253906, 13.53622817993164, 13.53622817993164, 13.536945343017578, 13.536945343017578, 13.536945343017578, 13.536945343017578, 13.536697387695312, 13.536697387695312, 13.536685943603516, 13.53668212890625, 13.536548614501953, 13.536548614501953, 13.536548614501953, 13.536544799804688, 13.536544799804688, 13.536544799804688, 13.536537170410156, 13.53653335571289, 13.53653335571289, 13.536373138427734, 13.536373138427734, 13.536373138427734, 13.536373138427734, 13.536373138427734, 13.536354064941406, 13.536354064941406, 13.536354064941406, 13.536334991455078, 13.536270141601562, 13.536270141601562, 13.536262512207031, 13.536262512207031, 13.520824432373047, 13.5216064453125, 13.521602630615234, 13.521602630615234, 13.521595001220703, 13.521595001220703, 13.521595001220703, 13.521591186523438, 13.521591186523438, 13.521583557128906, 13.521583557128906, 13.521583557128906, 13.521583557128906, 13.521583557128906, 13.521583557128906, 13.52157211303711, 13.52157211303711, 13.52157211303711, 13.52157211303711, 13.52157211303711, 13.521564483642578, 13.521503448486328, 13.521503448486328, 13.521503448486328, 13.521503448486328, 13.521495819091797, 13.521495819091797, 13.521495819091797, 13.521495819091797, 13.521495819091797, 13.521488189697266, 13.521728515625, 13.521728515625, 13.521724700927734, 13.521724700927734, 13.521717071533203, 13.52170181274414, 13.52170181274414, 13.52170181274414, 13.52170181274414, 13.521690368652344, 13.521690368652344, 13.521690368652344, 13.521690368652344, 13.521690368652344, 13.521682739257812, 13.521682739257812, 13.521553039550781, 13.521553039550781, 13.521553039550781, 13.521553039550781, 13.521553039550781, 13.521553039550781, 13.521533966064453, 13.521533966064453, 13.521507263183594, 13.521591186523438, 13.521591186523438, 13.521583557128906, 13.521583557128906, 13.521583557128906, 13.521583557128906, 13.521583557128906, 13.521583557128906, 13.521583557128906, 13.521575927734375, 13.521575927734375, 13.521575927734375, 13.521575927734375, 13.521575927734375, 13.521541595458984, 13.521541595458984, 13.521533966064453, 13.521533966064453, 13.521533966064453, 13.521533966064453, 13.521533966064453, 13.521533966064453, 13.521526336669922, 13.521526336669922, 13.521526336669922, 13.521526336669922, 13.521526336669922, 13.52151870727539, 13.52151870727539, 13.521514892578125, 13.521514892578125, 13.521514892578125, 13.521507263183594, 13.521507263183594, 13.521507263183594, 13.521507263183594, 13.521507263183594, 13.521385192871094, 13.521385192871094, 13.521373748779297, 13.521369934082031, 13.521366119384766, 13.521591186523438, 13.521591186523438, 13.521591186523438, 13.521591186523438, 13.521591186523438, 13.521587371826172, 13.52157974243164, 13.52157974243164, 13.52157974243164, 13.521446228027344, 13.521446228027344, 13.521446228027344, 13.521446228027344, 13.521446228027344, 13.521438598632812, 13.521427154541016, 13.521427154541016, 13.521404266357422, 13.521305084228516, 13.521305084228516, 13.52130126953125, 13.52130126953125, 13.52130126953125, 13.52130126953125, 13.52130126953125, 13.521293640136719, 13.521293640136719, 13.521289825439453, 13.521289825439453, 13.521289825439453, 13.521175384521484, 13.521175384521484, 13.521163940429688, 13.521163940429688, 13.521163940429688, 13.521163940429688, 13.521163940429688, 13.521156311035156, 13.521156311035156, 13.521156311035156, 13.521156311035156, 13.521156311035156, 13.52138900756836, 13.521629333496094, 13.521629333496094, 13.521629333496094, 13.521629333496094, 13.521621704101562, 13.521621704101562, 13.521621704101562, 13.521621704101562, 13.521621704101562, 13.521610260009766, 13.521610260009766, 13.521610260009766, 13.521610260009766, 13.521728515625, 13.521720886230469, 13.521705627441406, 13.521705627441406, 13.521705627441406, 13.521705627441406, 13.521671295166016, 13.521671295166016, 13.521671295166016, 13.521671295166016, 13.521671295166016, 13.521663665771484, 13.521663665771484, 13.521541595458984, 13.521541595458984, 13.521446228027344, 13.521446228027344, 13.521446228027344, 13.52142333984375, 13.52142333984375, 13.52142333984375, 13.52139663696289, 13.521316528320312, 13.521316528320312, 13.521308898925781, 13.521308898925781, 13.521308898925781, 13.521308898925781, 13.521308898925781, 13.521305084228516, 13.521297454833984, 13.521297454833984, 13.521297454833984, 13.521297454833984, 13.52105712890625, 13.52105712890625, 13.521049499511719, 13.521049499511719, 13.521049499511719, 13.521289825439453, 13.521289825439453, 13.521282196044922, 13.521282196044922, 13.521282196044922, 13.521282196044922, 13.521041870117188, 13.521034240722656, 13.521034240722656, 13.521034240722656, 13.521034240722656, 13.521034240722656, 13.52102279663086, 13.52102279663086, 13.52102279663086, 13.52102279663086, 13.52102279663086, 13.521255493164062, 13.521255493164062, 13.521251678466797, 13.521251678466797, 13.521251678466797, 13.521244049072266, 13.521232604980469, 13.521232604980469, 13.52120590209961, 13.52120590209961, 13.52120590209961, 13.52120590209961, 13.52120590209961, 13.52120590209961, 13.521198272705078, 13.521160125732422, 13.521160125732422, 13.52103042602539, 13.52103042602539, 13.52103042602539, 13.521026611328125, 13.52102279663086, 13.521003723144531, 13.521003723144531, 13.520999908447266, 13.520980834960938, 13.520870208740234, 13.520870208740234, 13.520870208740234, 13.520862579345703, 13.520862579345703, 13.520862579345703, 13.520862579345703, 13.520862579345703, 13.520862579345703, 13.520755767822266, 13.520755767822266, 13.520755767822266, 13.520755767822266, 13.520755767822266, 13.520748138427734, 13.520668029785156, 13.520668029785156, 13.520668029785156, 13.520668029785156, 13.520660400390625, 13.520660400390625, 13.520660400390625, 13.520660400390625, 13.52065658569336, 13.52065658569336, 13.520645141601562, 13.520645141601562, 13.520645141601562, 13.520645141601562, 13.520877838134766, 13.520877838134766, 13.5208740234375, 13.5208740234375, 13.5208740234375, 13.520866394042969, 13.520866394042969, 13.520866394042969, 13.520866394042969, 13.520866394042969, 13.520858764648438, 13.52084732055664, 13.52084732055664, 13.52084732055664, 13.52084732055664, 13.52083969116211, 13.52083969116211, 13.52083969116211, 13.520599365234375, 13.520599365234375, 13.520587921142578, 13.520584106445312, 13.520576477050781, 13.520576477050781, 13.520576477050781, 13.520576477050781, 13.520576477050781, 13.520572662353516, 13.520557403564453, 13.520557403564453, 13.520538330078125, 13.520458221435547, 13.520454406738281, 13.520687103271484, 13.520687103271484, 13.520687103271484, 13.551898956298828, 13.55160903930664, 13.55160903930664, 13.55160903930664, 13.55160140991211, 13.55160140991211, 13.55160140991211, 13.55160140991211, 13.55160140991211, 13.551597595214844, 13.551593780517578, 13.551593780517578, 13.551593780517578, 13.551593780517578, 13.551586151123047, 13.551586151123047, 13.551586151123047, 13.551586151123047, 13.551586151123047, 13.551498413085938, 13.551498413085938, 13.551498413085938, 13.551498413085938, 13.551498413085938, 13.551490783691406, 13.551490783691406, 13.551490783691406, 13.551490783691406, 13.551490783691406, 13.55148696899414, 13.55148696899414, 13.55148696899414, 13.55148696899414, 13.55148696899414, 13.55148696899414, 13.551464080810547, 13.551464080810547, 13.551464080810547, 13.551448822021484, 13.551448822021484, 13.551445007324219, 13.551445007324219, 13.551445007324219, 13.551437377929688, 13.551437377929688, 13.551437377929688, 13.551399230957031, 13.551399230957031, 13.551399230957031, 13.551399230957031, 13.551399230957031, 13.551380157470703, 13.551380157470703, 13.551380157470703, 13.55135726928711, 13.551254272460938, 13.551254272460938, 13.551254272460938, 13.551246643066406, 13.551677703857422, 13.551677703857422]",ConstrainedSphericalDeconvModel
ray,108921,4,65.84013605117798,16,32805896192,435686,14.55327163696289,"[13.518672943115234, 14.097518920898438, 14.454395294189453, 14.454391479492188, 14.454391479492188, 14.454391479492188, 14.454391479492188, 14.454391479492188, 14.454391479492188, 14.454627990722656, 14.454627990722656, 14.454605102539062, 14.454605102539062, 14.454605102539062, 14.454605102539062, 14.455249786376953, 14.456924438476562, 14.460529327392578, 14.465335845947266, 14.469661712646484, 14.474468231201172, 14.479515075683594, 14.48431396484375, 14.489120483398438, 14.494407653808594, 14.499931335449219, 14.505210876464844, 14.509777069091797, 14.515544891357422, 14.52035140991211, 14.525157928466797, 14.529964447021484, 14.535724639892578, 14.59244155883789, 14.7166748046875, 14.706249237060547, 14.708972930908203, 14.708648681640625, 14.708648681640625, 14.71826171875, 14.773456573486328, 14.843868255615234, 14.867420196533203, 14.902027130126953, 15.02750015258789, 15.053451538085938, 15.05679702758789, 15.056655883789062, 15.0565185546875, 13.770187377929688]",ConstrainedSphericalDeconvModel
ray,108921,4,65.34743642807007,16,32805896192,435686,14.674908752441405,"[13.77008056640625, 14.341094970703125, 14.705337524414062, 14.705337524414062, 14.705337524414062, 14.705337524414062, 14.705570220947266, 14.705810546875, 14.705810546875, 14.705810546875, 14.705810546875, 14.705810546875, 14.705802917480469, 14.705802917480469, 14.705802917480469, 14.705802917480469, 14.705802917480469, 14.705795288085938, 14.705795288085938, 14.705795288085938, 14.705791473388672, 14.705787658691406, 14.705780029296875, 14.705780029296875, 14.705780029296875, 14.705780029296875, 14.705780029296875, 14.705760955810547, 14.705760955810547, 14.705760955810547, 14.705745697021484, 14.705745697021484, 14.705745697021484, 14.729778289794922, 14.758689880371094, 14.71517562866211, 14.581550598144531, 14.581550598144531, 14.589714050292969, 14.64297866821289, 14.67974853515625, 14.713146209716797, 14.754470825195312, 14.809745788574219, 14.822933197021484, 14.930461883544922, 14.930355072021484, 14.930233001708984, 14.930225372314453, 13.656131744384766]",ConstrainedSphericalDeconvModel
ray,108921,4,65.07062792778015,16,32805896192,435686,14.63262451171875,"[13.656047821044922, 14.234882354736328, 14.590858459472656, 14.590831756591797, 14.590831756591797, 14.590831756591797, 14.590831756591797, 14.590831756591797, 14.590831756591797, 14.590824127197266, 14.5908203125, 14.5908203125, 14.5908203125, 14.5908203125, 14.591056823730469, 14.591056823730469, 14.59177017211914, 14.592491149902344, 14.593212127685547, 14.593212127685547, 14.593212127685547, 14.59415054321289, 14.594871520996094, 14.595352172851562, 14.596073150634766, 14.596786499023438, 14.597747802734375, 14.598224639892578, 14.598945617675781, 14.599906921386719, 14.601341247558594, 14.602542877197266, 14.603813171386719, 14.642024993896484, 14.819145202636719, 14.710033416748047, 14.701614379882812, 14.70159912109375, 14.704963684082031, 14.75674819946289, 14.79318618774414, 14.831398010253906, 14.85806655883789, 14.92386245727539, 14.936840057373047, 15.044647216796875, 15.044635772705078, 15.044490814208984, 15.044486999511719, 13.766830444335938]",ConstrainedSphericalDeconvModel
ray,108921,4,65.85542464256287,16,32805896192,435686,14.712348861694336,"[13.766136169433594, 14.337142944335938, 14.701385498046875, 14.701385498046875, 14.701377868652344, 14.701377868652344, 14.701377868652344, 14.701377868652344, 14.701854705810547, 14.70184326171875, 14.70184326171875, 14.70184326171875, 14.70184326171875, 14.70184326171875, 14.701831817626953, 14.701828002929688, 14.701828002929688, 14.701828002929688, 14.701812744140625, 14.701812744140625, 14.701812744140625, 14.697994232177734, 14.69772720336914, 14.697723388671875, 14.697723388671875, 14.69771957397461, 14.697669982910156, 14.697669982910156, 14.697669982910156, 14.697669982910156, 14.697669982910156, 14.697647094726562, 14.697647094726562, 14.75244140625, 14.77120590209961, 14.72772216796875, 14.725078582763672, 14.725078582763672, 14.725078582763672, 14.782672882080078, 14.814388275146484, 14.854042053222656, 14.8795166015625, 14.947288513183594, 15.039726257324219, 15.067123413085938, 15.068557739257812, 15.068790435791016, 15.068534851074219, 13.792278289794922]",ConstrainedSphericalDeconvModel
