engine,vox_per_chunk,num_chunks,time,cpu_count,memory_size,num_vox,avg_mem,mem_useage,model,data_shape
ray,435686,1,129.00553035736084,72,147563388928,435686,13.365778863430023,"[8.666217803955078, 9.294330596923828, 9.910934448242188, 9.993026733398438, 13.18844223022461, 13.255851745605469, 13.264904022216797, 13.269920349121094, 13.27352523803711, 13.286746978759766, 13.290462493896484, 13.292552947998047, 13.297210693359375, 13.300975799560547, 13.313556671142578, 13.319725036621094, 13.326194763183594, 13.334842681884766, 13.339851379394531, 13.344989776611328, 13.351531982421875, 13.357566833496094, 13.365413665771484, 13.367778778076172, 13.372501373291016, 13.376091003417969, 13.37750244140625, 13.382022857666016, 13.383602142333984, 13.387298583984375, 13.392066955566406, 13.39487075805664, 13.396915435791016, 13.3990478515625, 13.402477264404297, 13.406055450439453, 13.408119201660156, 13.409801483154297, 13.411720275878906, 13.414588928222656, 13.417129516601562, 13.418807983398438, 13.421348571777344, 13.423748016357422, 13.42678451538086, 13.42966079711914, 13.432300567626953, 13.433551788330078, 13.435161590576172, 13.43771743774414, 13.440116882324219, 13.442672729492188, 13.444595336914062, 13.44723892211914, 13.450019836425781, 13.453121185302734, 13.454582214355469, 13.45626449584961, 13.458259582519531, 13.461601257324219, 13.463520050048828, 13.465557098388672, 13.467010498046875, 13.468921661376953, 13.472549438476562, 13.47604751586914, 13.478538513183594, 13.480480194091797, 13.48269271850586, 13.485309600830078, 13.487953186035156, 13.490032196044922, 13.493156433105469, 13.495559692382812, 13.499034881591797, 13.501182556152344, 13.503654479980469, 13.505939483642578, 13.508796691894531, 13.511165618896484, 13.513946533203125, 13.516471862792969, 13.518608093261719, 13.521011352539062, 13.523853302001953, 13.52621078491211, 13.528804779052734, 13.531661987304688, 13.534305572509766, 13.537067413330078, 13.53964614868164, 13.541526794433594, 13.544380187988281, 13.546993255615234, 13.549869537353516, 13.551780700683594, 13.554424285888672, 13.556705474853516, 13.558555603027344, 13.560714721679688, 13.563358306884766, 13.565040588378906, 13.567745208740234, 13.569976806640625, 13.572792053222656, 13.57541275024414, 13.577293395996094, 13.57918930053711, 13.581829071044922, 13.583843231201172, 13.586006164550781, 13.588146209716797, 13.59078598022461, 13.593368530273438, 13.597869873046875, 13.600967407226562, 13.603256225585938, 13.605415344238281, 13.6077880859375, 13.66489028930664, 13.75632095336914, 13.846199035644531, 13.948204040527344, 13.940139770507812, 14.181648254394531, 14.300933837890625, 14.457901000976562, 13.013813018798828]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,435686,1,125.73506355285645,72,147563388928,435686,13.95620488363599,"[13.013603210449219, 13.588741302490234, 13.948745727539062, 13.948661804199219, 13.949836730957031, 13.950336456298828, 13.95077896118164, 13.95077896118164, 13.950878143310547, 13.951835632324219, 13.95193099975586, 13.951786041259766, 13.951210021972656, 13.9512939453125, 13.95233154296875, 13.951896667480469, 13.951663970947266, 13.951904296875, 13.951370239257812, 13.951416015625, 13.950263977050781, 13.950340270996094, 13.95010757446289, 13.949413299560547, 13.94882583618164, 13.949066162109375, 13.94924545288086, 13.948772430419922, 13.948322296142578, 13.948036193847656, 13.947551727294922, 13.947334289550781, 13.948055267333984, 13.948238372802734, 13.948638916015625, 13.94805908203125, 13.947956085205078, 13.948554992675781, 13.948867797851562, 13.948780059814453, 13.948535919189453, 13.94820785522461, 13.94839096069336, 13.94913101196289, 13.949325561523438, 13.94936752319336, 13.949787139892578, 13.949581146240234, 13.949542999267578, 13.94955062866211, 13.94900131225586, 13.949764251708984, 13.950485229492188, 13.951164245605469, 13.952301025390625, 13.953304290771484, 13.953479766845703, 13.953567504882812, 13.954338073730469, 13.95431900024414, 13.954029083251953, 13.95358657836914, 13.954307556152344, 13.95461654663086, 13.95553207397461, 13.955249786376953, 13.955364227294922, 13.95529556274414, 13.955032348632812, 13.954566955566406, 13.954864501953125, 13.954853057861328, 13.954853057861328, 13.955196380615234, 13.956279754638672, 13.956588745117188, 13.95578384399414, 13.955360412597656, 13.95522689819336, 13.955924987792969, 13.955730438232422, 13.955970764160156, 13.95620346069336, 13.955875396728516, 13.95587158203125, 13.956214904785156, 13.95556640625, 13.955448150634766, 13.954936981201172, 13.954261779785156, 13.953666687011719, 13.954376220703125, 13.954757690429688, 13.954681396484375, 13.954769134521484, 13.954341888427734, 13.953960418701172, 13.953956604003906, 13.954288482666016, 13.95419692993164, 13.953937530517578, 13.953361511230469, 13.953205108642578, 13.953426361083984, 13.953369140625, 13.953338623046875, 13.953182220458984, 13.952796936035156, 13.952545166015625, 13.952430725097656, 13.951831817626953, 13.951454162597656, 13.91684341430664, 13.917072296142578, 13.918743133544922, 13.91989517211914, 13.9195556640625, 13.94094467163086, 13.978363037109375, 14.046821594238281, 14.152542114257812, 14.04388427734375, 14.17410659790039, 14.30615234375, 14.428230285644531, 14.473617553710938]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,435686,1,125.7267153263092,72,147563388928,435686,13.933939819335938,"[13.03341293334961, 13.604618072509766, 13.96908950805664, 13.96944808959961, 13.96981430053711, 13.96976089477539, 13.96944808959961, 13.969642639160156, 13.970169067382812, 13.969890594482422, 13.97011947631836, 13.970592498779297, 13.970207214355469, 13.969940185546875, 13.969757080078125, 13.970211029052734, 13.970211029052734, 13.97027587890625, 13.971168518066406, 13.9725341796875, 13.972282409667969, 13.972663879394531, 13.972469329833984, 13.972156524658203, 13.971851348876953, 13.97232437133789, 13.972896575927734, 13.9730224609375, 13.973739624023438, 13.973804473876953, 13.973564147949219, 13.973529815673828, 13.97378921508789, 13.972740173339844, 13.972740173339844, 13.972137451171875, 13.971698760986328, 13.970573425292969, 13.970088958740234, 13.969825744628906, 13.969585418701172, 13.968585968017578, 13.968360900878906, 13.967487335205078, 13.967864990234375, 13.96786117553711, 13.966922760009766, 13.966278076171875, 13.966724395751953, 13.966602325439453, 13.966331481933594, 13.966331481933594, 13.966400146484375, 13.88814926147461, 13.888236999511719, 13.888370513916016, 13.88818359375, 13.887592315673828, 13.88753890991211, 13.887680053710938, 13.88790512084961, 13.887641906738281, 13.88785171508789, 13.888069152832031, 13.887840270996094, 13.887828826904297, 13.887798309326172, 13.887794494628906, 13.88800048828125, 13.88736343383789, 13.887123107910156, 13.887042999267578, 13.887229919433594, 13.88724136352539, 13.886741638183594, 13.886741638183594, 13.886375427246094, 13.886734008789062, 13.886608123779297, 13.88677978515625, 13.886940002441406, 13.88686752319336, 13.886852264404297, 13.88699722290039, 13.886299133300781, 13.886356353759766, 13.886276245117188, 13.88620376586914, 13.886436462402344, 13.885940551757812, 13.886180877685547, 13.887142181396484, 13.88808822631836, 13.8887939453125, 13.888694763183594, 13.8892822265625, 13.890003204345703, 13.891433715820312, 13.892284393310547, 13.89395523071289, 13.894584655761719, 13.894943237304688, 13.895896911621094, 13.896854400634766, 13.897323608398438, 13.898033142089844, 13.89874267578125, 13.899307250976562, 13.900524139404297, 13.900688171386719, 13.901718139648438, 13.902172088623047, 13.903095245361328, 13.90371322631836, 13.90414047241211, 13.904815673828125, 13.905441284179688, 13.935802459716797, 14.010295867919922, 14.110588073730469, 14.172096252441406, 14.183746337890625, 14.310527801513672, 14.407821655273438, 14.462566375732422]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,435686,1,126.34401440620422,72,147563388928,435686,13.903247893802703,"[13.024642944335938, 13.599018096923828, 13.958881378173828, 13.958843231201172, 13.958843231201172, 13.958843231201172, 13.958763122558594, 13.95864486694336, 13.95864486694336, 13.958881378173828, 13.959053039550781, 13.958621978759766, 13.959102630615234, 13.959320068359375, 13.959068298339844, 13.958816528320312, 13.958709716796875, 13.958477020263672, 13.958396911621094, 13.95828628540039, 13.86358642578125, 13.863555908203125, 13.863555908203125, 13.863052368164062, 13.863533020019531, 13.863426208496094, 13.863658905029297, 13.863582611083984, 13.86404800415039, 13.863983154296875, 13.864147186279297, 13.86374282836914, 13.863712310791016, 13.86343002319336, 13.863670349121094, 13.863468170166016, 13.86367416381836, 13.863636016845703, 13.863410949707031, 13.863357543945312, 13.86282730102539, 13.862445831298828, 13.862415313720703, 13.861957550048828, 13.86212158203125, 13.862342834472656, 13.862342834472656, 13.862064361572266, 13.861942291259766, 13.86202621459961, 13.861801147460938, 13.86215591430664, 13.861946105957031, 13.861820220947266, 13.862052917480469, 13.862979888916016, 13.863567352294922, 13.864276885986328, 13.864990234375, 13.865951538085938, 13.867115020751953, 13.86758804321289, 13.868175506591797, 13.868843078613281, 13.869373321533203, 13.870307922363281, 13.870975494384766, 13.87167739868164, 13.87258529663086, 13.873298645019531, 13.874011993408203, 13.874717712402344, 13.875083923339844, 13.875442504882812, 13.876152038574219, 13.876873016357422, 13.877593994140625, 13.878547668457031, 13.880203247070312, 13.881645202636719, 13.883563995361328, 13.884170532226562, 13.886093139648438, 13.886497497558594, 13.887680053710938, 13.888565063476562, 13.890239715576172, 13.89072036743164, 13.891910552978516, 13.892349243164062, 13.893043518066406, 13.89438247680664, 13.895584106445312, 13.89627456665039, 13.897174835205078, 13.897541046142578, 13.898124694824219, 13.898391723632812, 13.898983001708984, 13.899887084960938, 13.900215148925781, 13.900985717773438, 13.901592254638672, 13.900993347167969, 13.902141571044922, 13.90262222290039, 13.903072357177734, 13.903556823730469, 13.904170989990234, 13.904651641845703, 13.905738830566406, 13.90655517578125, 13.907203674316406, 13.907299041748047, 13.908016204833984, 13.908233642578125, 13.908943176269531, 13.929096221923828, 13.99923324584961, 14.073921203613281, 14.162006378173828, 14.149890899658203, 14.190269470214844, 14.309810638427734, 14.421623229980469, 14.467884063720703]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,435686,1,126.66371846199036,72,147563388928,435686,13.975044795445033,"[13.02694320678711, 13.598175048828125, 13.961544036865234, 13.961875915527344, 13.961849212646484, 13.962089538574219, 13.96224594116211, 13.962188720703125, 13.961917877197266, 13.96231460571289, 13.962486267089844, 13.962486267089844, 13.962413787841797, 13.962791442871094, 13.96285629272461, 13.962776184082031, 13.962760925292969, 13.96258544921875, 13.962505340576172, 13.96242904663086, 13.96242904663086, 13.963150024414062, 13.963077545166016, 13.962783813476562, 13.96218490600586, 13.962329864501953, 13.96231460571289, 13.962718963623047, 13.96319580078125, 13.962928771972656, 13.963138580322266, 13.963119506835938, 13.963359832763672, 13.963531494140625, 13.963298797607422, 13.962516784667969, 13.962505340576172, 13.962505340576172, 13.962318420410156, 13.962005615234375, 13.96194839477539, 13.961898803710938, 13.962108612060547, 13.96212387084961, 13.961833953857422, 13.961833953857422, 13.961833953857422, 13.959892272949219, 13.9598388671875, 13.959686279296875, 13.959770202636719, 13.959709167480469, 13.959709167480469, 13.959709167480469, 13.959701538085938, 13.960121154785156, 13.960342407226562, 13.960342407226562, 13.960582733154297, 13.960533142089844, 13.960506439208984, 13.960712432861328, 13.961185455322266, 13.960803985595703, 13.960777282714844, 13.961235046386719, 13.961219787597656, 13.961219787597656, 13.961219787597656, 13.961051940917969, 13.961128234863281, 13.961036682128906, 13.961036682128906, 13.961116790771484, 13.960796356201172, 13.960987091064453, 13.960811614990234, 13.9605712890625, 13.960224151611328, 13.959892272949219, 13.960350036621094, 13.960582733154297, 13.960823059082031, 13.898719787597656, 13.899169921875, 13.899139404296875, 13.899524688720703, 13.899765014648438, 13.899497985839844, 13.8994140625, 13.8990478515625, 13.899124145507812, 13.901691436767578, 13.902641296386719, 14.002777099609375, 14.003841400146484, 14.002769470214844, 14.001091003417969, 13.99985122680664, 13.995655059814453, 13.995101928710938, 13.994083404541016, 13.9931640625, 13.993255615234375, 13.994209289550781, 13.993167877197266, 13.993663787841797, 13.992897033691406, 13.993133544921875, 13.993335723876953, 13.992847442626953, 13.993118286132812, 13.993270874023438, 13.993988037109375, 13.993865966796875, 13.9949951171875, 13.995708465576172, 14.010631561279297, 14.079517364501953, 14.131156921386719, 14.238502502441406, 14.294010162353516, 14.289405822753906, 14.391777038574219, 14.538108825683594, 14.569549560546875]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,67.06399202346802,72,147563388928,435686,14.157211477106268,"[13.129268646240234, 13.70029067993164, 14.103424072265625, 14.110504150390625, 14.110969543457031, 14.112655639648438, 14.114723205566406, 14.117839813232422, 14.120712280273438, 14.122875213623047, 14.125167846679688, 14.126873016357422, 14.129398345947266, 14.130928039550781, 14.132610321044922, 14.134723663330078, 14.136638641357422, 14.138618469238281, 14.140655517578125, 14.142082214355469, 14.144966125488281, 14.147453308105469, 14.151988983154297, 14.15347671508789, 14.155036926269531, 14.158134460449219, 14.160263061523438, 14.161357879638672, 14.163311004638672, 14.164813995361328, 14.166866302490234, 14.169509887695312, 14.170906066894531, 14.172557830810547, 14.173755645751953, 14.175918579101562, 14.178081512451172, 14.180870056152344, 14.182987213134766, 14.185310363769531, 14.187549591064453, 14.1893310546875, 14.191967010498047, 14.194343566894531, 14.196353912353516, 14.198516845703125, 14.200668334960938, 14.203071594238281, 14.205299377441406, 14.207443237304688, 14.209846496582031, 14.21200180053711, 14.213916778564453, 14.216777801513672, 14.218147277832031, 14.22031021118164, 14.222240447998047, 14.223644256591797, 14.225578308105469, 14.277900695800781, 14.374496459960938, 14.37076187133789, 14.457195281982422, 14.581157684326172, 14.649856567382812, 13.329055786132812]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,65.83762121200562,72,147563388928,435686,14.231761932373047,"[13.32851791381836, 13.898944854736328, 14.264556884765625, 14.265949249267578, 14.265186309814453, 14.265159606933594, 14.265357971191406, 14.264945983886719, 14.265029907226562, 14.265399932861328, 14.264698028564453, 14.26416015625, 14.263927459716797, 14.263755798339844, 14.263565063476562, 14.26302719116211, 14.262924194335938, 14.263233184814453, 14.263198852539062, 14.263725280761719, 14.263824462890625, 14.262752532958984, 14.262367248535156, 14.262603759765625, 14.262287139892578, 14.261520385742188, 14.261459350585938, 14.260387420654297, 14.259185791015625, 14.259162902832031, 14.258747100830078, 14.258506774902344, 14.258087158203125, 14.258804321289062, 14.258895874023438, 14.259090423583984, 14.258125305175781, 14.257164001464844, 14.256744384765625, 14.256519317626953, 14.223834991455078, 14.16470718383789, 14.16470718383789, 14.164703369140625, 14.164497375488281, 14.164482116699219, 14.164447784423828, 14.163925170898438, 14.164382934570312, 14.165096282958984, 14.165252685546875, 14.165576934814453, 14.16629409790039, 14.166755676269531, 14.166969299316406, 14.167335510253906, 14.16757583618164, 14.168296813964844, 14.168254852294922, 14.241554260253906, 14.371330261230469, 14.345489501953125, 14.469230651855469, 14.572040557861328, 14.676284790039062]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,66.24911999702454,72,147563388928,435686,14.19755877870502,"[13.302330017089844, 13.872871398925781, 14.237659454345703, 14.23781967163086, 14.23758316040039, 14.237342834472656, 14.23672866821289, 14.237007141113281, 14.236846923828125, 14.236503601074219, 14.23654556274414, 14.23651123046875, 14.236808776855469, 14.236942291259766, 14.23702621459961, 14.23602294921875, 14.23635482788086, 14.236518859863281, 14.236518859863281, 14.236682891845703, 14.236518859863281, 14.235980987548828, 14.236534118652344, 14.188236236572266, 14.188236236572266, 14.188236236572266, 14.188129425048828, 14.188209533691406, 14.189170837402344, 14.189342498779297, 14.153518676757812, 14.153751373291016, 14.153984069824219, 14.154705047607422, 14.154220581054688, 14.154365539550781, 14.15423583984375, 14.154212951660156, 14.153884887695312, 14.153556823730469, 14.152839660644531, 14.152839660644531, 14.152984619140625, 14.153064727783203, 14.153587341308594, 14.154468536376953, 14.155170440673828, 14.155879974365234, 14.156356811523438, 14.156997680664062, 14.157646179199219, 14.15789794921875, 14.158287048339844, 14.158576965332031, 14.158500671386719, 14.158706665039062, 14.160140991210938, 14.160964965820312, 14.166011810302734, 14.246917724609375, 14.37307357788086, 14.280418395996094, 14.380325317382812, 14.492538452148438, 14.59177017211914, 14.685256958007812]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,65.71075391769409,72,147563388928,435686,14.222441991170248,"[13.31338119506836, 13.888313293457031, 14.248878479003906, 14.249717712402344, 14.249958038330078, 14.251468658447266, 14.249019622802734, 14.248966217041016, 14.24886703491211, 14.24862289428711, 14.248374938964844, 14.24810791015625, 14.247505187988281, 14.248088836669922, 14.248565673828125, 14.248565673828125, 14.248363494873047, 14.248546600341797, 14.248409271240234, 14.248226165771484, 14.248455047607422, 14.248676300048828, 14.248397827148438, 14.248271942138672, 14.248271942138672, 14.24813461303711, 14.24831771850586, 14.24783706665039, 14.247756958007812, 14.247665405273438, 14.24740982055664, 14.247379302978516, 14.246898651123047, 14.246753692626953, 14.246994018554688, 14.247432708740234, 14.244403839111328, 14.244159698486328, 14.243698120117188, 14.206375122070312, 14.206123352050781, 14.20635986328125, 14.206016540527344, 14.205989837646484, 14.205982208251953, 14.206443786621094, 14.207141876220703, 14.20712661743164, 14.206886291503906, 14.20760726928711, 14.207603454589844, 14.20758056640625, 14.208038330078125, 14.208114624023438, 14.209503173828125, 14.209156036376953, 14.209369659423828, 14.209396362304688, 14.209007263183594, 14.272441864013672, 14.380565643310547, 14.380626678466797, 14.507755279541016, 14.598587036132812, 14.673328399658203, 13.341182708740234]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,65.92607998847961,72,147563388928,435686,14.205547448360559,"[13.342235565185547, 13.917499542236328, 14.277580261230469, 14.27755355834961, 14.277637481689453, 14.278324127197266, 14.278392791748047, 14.278133392333984, 14.278057098388672, 14.277942657470703, 14.277523040771484, 14.277225494384766, 14.276687622070312, 14.276683807373047, 14.276443481445312, 14.276309967041016, 14.276412963867188, 14.276412963867188, 14.276161193847656, 14.276397705078125, 14.276081085205078, 14.27573013305664, 14.236766815185547, 14.236274719238281, 14.179424285888672, 14.179153442382812, 14.178936004638672, 14.178848266601562, 14.178333282470703, 14.178329467773438, 14.178028106689453, 14.178028106689453, 14.177509307861328, 14.177978515625, 14.178218841552734, 14.178199768066406, 14.17795181274414, 14.17795181274414, 14.178428649902344, 14.17840576171875, 14.178565979003906, 14.179046630859375, 14.17923355102539, 14.179161071777344, 14.179157257080078, 14.178913116455078, 14.178913116455078, 14.17873764038086, 14.178977966308594, 14.179206848144531, 14.179183959960938, 14.179424285888672, 14.17917251586914, 14.179145812988281, 14.179019927978516, 14.178943634033203, 14.178295135498047, 14.178295135498047, 14.183067321777344, 14.262359619140625, 14.382007598876953, 14.359970092773438, 14.46419906616211, 14.576648712158203, 14.666675567626953, 13.321617126464844]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
