engine,vox_per_chunk,num_chunks,time,cpu_count,memory_size,num_vox,avg_mem,mem_useage,model,data_shape
ray,217843,2,69.2269697189331,72,147562672128,435686,13.228277399920035,"[8.681877136230469, 9.297904968261719, 9.910552978515625, 9.977973937988281, 10.041133880615234, 13.155864715576172, 13.274398803710938, 13.289966583251953, 13.299358367919922, 13.310596466064453, 13.31732177734375, 13.32394027709961, 13.329212188720703, 13.333728790283203, 13.338111877441406, 13.349014282226562, 13.359230041503906, 13.366920471191406, 13.374923706054688, 13.384201049804688, 13.391117095947266, 13.401153564453125, 13.408622741699219, 13.417800903320312, 13.422687530517578, 13.429855346679688, 13.43686294555664, 13.441390991210938, 13.446903228759766, 13.451904296875, 13.45645523071289, 13.462722778320312, 13.466724395751953, 13.470806121826172, 13.475749969482422, 13.481327056884766, 13.485836029052734, 13.489864349365234, 13.493946075439453, 13.498443603515625, 13.502769470214844, 13.507774353027344, 13.511699676513672, 13.515872955322266, 13.520614624023438, 13.526069641113281, 13.531429290771484, 13.535579681396484, 13.539058685302734, 13.54354476928711, 13.547607421875, 13.551921844482422, 13.556243896484375, 13.560596466064453, 13.565826416015625, 13.57034683227539, 13.574756622314453, 13.579273223876953, 13.583293914794922, 13.587173461914062, 13.591739654541016, 13.596744537353516, 13.71700668334961, 13.895458221435547, 13.817501068115234, 13.939128875732422, 14.055973052978516, 14.192394256591797, 14.287334442138672]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,64.93679738044739,72,147562672128,435686,13.841842064490685,"[12.912322998046875, 13.495296478271484, 13.849227905273438, 13.850181579589844, 13.846733093261719, 13.846954345703125, 13.846805572509766, 13.847396850585938, 13.847335815429688, 13.848037719726562, 13.848014831542969, 13.84811019897461, 13.848583221435547, 13.848793029785156, 13.848827362060547, 13.849235534667969, 13.84893798828125, 13.84915542602539, 13.848987579345703, 13.848918914794922, 13.848876953125, 13.849315643310547, 13.84942626953125, 13.849418640136719, 13.849323272705078, 13.84930419921875, 13.849296569824219, 13.849536895751953, 13.849285125732422, 13.849510192871094, 13.849327087402344, 13.849559783935547, 13.849800109863281, 13.84979248046875, 13.850021362304688, 13.849979400634766, 13.850093841552734, 13.850177764892578, 13.850086212158203, 13.850303649902344, 13.819465637207031, 13.82010269165039, 13.794357299804688, 13.794548034667969, 13.794761657714844, 13.79520034790039, 13.796161651611328, 13.796142578125, 13.796340942382812, 13.796710968017578, 13.796772003173828, 13.79708480834961, 13.79690933227539, 13.796764373779297, 13.796310424804688, 13.796463012695312, 13.798954010009766, 13.801567077636719, 13.897850036621094, 14.064022064208984, 13.980998992919922, 14.02700424194336, 14.131729125976562, 14.232372283935547, 14.330848693847656]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,65.4777352809906,72,147562672128,435686,13.864658590463492,"[12.958194732666016, 13.53744125366211, 13.893184661865234, 13.891956329345703, 13.89139175415039, 13.891231536865234, 13.890758514404297, 13.891098022460938, 13.890609741210938, 13.889610290527344, 13.890308380126953, 13.889617919921875, 13.889808654785156, 13.889289855957031, 13.888858795166016, 13.888622283935547, 13.888614654541016, 13.888729095458984, 13.887893676757812, 13.888134002685547, 13.888824462890625, 13.888206481933594, 13.888347625732422, 13.88836669921875, 13.888072967529297, 13.887901306152344, 13.887470245361328, 13.88718032836914, 13.867691040039062, 13.867496490478516, 13.82928466796875, 13.829509735107422, 13.828788757324219, 13.828227996826172, 13.827457427978516, 13.82736587524414, 13.827228546142578, 13.828624725341797, 13.829086303710938, 13.829208374023438, 13.829856872558594, 13.829601287841797, 13.829811096191406, 13.82961654663086, 13.82958984375, 13.829364776611328, 13.829338073730469, 13.82989501953125, 13.82974624633789, 13.83084487915039, 13.832721710205078, 13.83291244506836, 13.83224105834961, 13.834945678710938, 13.833808898925781, 13.833175659179688, 13.8323974609375, 13.832145690917969, 13.879810333251953, 14.045387268066406, 14.014739990234375, 14.00479507446289, 14.114116668701172, 14.221843719482422, 14.32040786743164]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,65.07773733139038,72,147562672128,435686,13.915343475341796,"[12.96051025390625, 13.543960571289062, 13.899333953857422, 13.901084899902344, 13.904132843017578, 13.905498504638672, 13.905712127685547, 13.9046630859375, 13.90579605102539, 13.903816223144531, 13.903507232666016, 13.905376434326172, 13.904895782470703, 13.904064178466797, 13.90444564819336, 13.902393341064453, 13.90313720703125, 13.902976989746094, 13.902992248535156, 13.90237808227539, 13.902603149414062, 13.903308868408203, 13.903789520263672, 13.902938842773438, 13.90518569946289, 13.906147003173828, 13.907108306884766, 13.90737533569336, 13.906742095947266, 13.906421661376953, 13.906726837158203, 13.906967163085938, 13.908061981201172, 13.909465789794922, 13.912590026855469, 13.913311004638672, 13.91329574584961, 13.91318130493164, 13.913528442382812, 13.912860870361328, 13.91168212890625, 13.911148071289062, 13.911834716796875, 13.911247253417969, 13.912200927734375, 13.913345336914062, 13.913558959960938, 13.913799285888672, 13.913986206054688, 13.913505554199219, 13.913330078125, 13.9129638671875, 13.913398742675781, 13.912242889404297, 13.911808013916016, 13.91006851196289, 13.909435272216797, 13.909664154052734, 13.954845428466797, 14.07131576538086, 14.064197540283203, 14.106109619140625, 14.218563079833984, 14.320381164550781, 14.410408020019531]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,217843,2,64.88095569610596,72,147562672128,435686,13.893062472343445,"[13.032001495361328, 13.612442016601562, 13.965167999267578, 13.965213775634766, 13.964210510253906, 13.963375091552734, 13.962638854980469, 13.96206283569336, 13.961334228515625, 13.961021423339844, 13.961124420166016, 13.96072006225586, 13.960060119628906, 13.958976745605469, 13.958690643310547, 13.958152770996094, 13.956573486328125, 13.956302642822266, 13.956302642822266, 13.955802917480469, 13.955528259277344, 13.955001831054688, 13.908515930175781, 13.851573944091797, 13.851688385009766, 13.85207748413086, 13.851638793945312, 13.850818634033203, 13.850650787353516, 13.850868225097656, 13.850189208984375, 13.85062026977539, 13.850872039794922, 13.850852966308594, 13.85129165649414, 13.851882934570312, 13.851490020751953, 13.8516845703125, 13.85140609741211, 13.852840423583984, 13.85256576538086, 13.852806091308594, 13.852703094482422, 13.852394104003906, 13.852348327636719, 13.852516174316406, 13.85287094116211, 13.852783203125, 13.852909088134766, 13.852825164794922, 13.852806091308594, 13.853031158447266, 13.852653503417969, 13.852222442626953, 13.85220718383789, 13.852092742919922, 13.851898193359375, 13.851634979248047, 13.909965515136719, 14.111358642578125, 13.91231918334961, 14.084075927734375, 14.23422622680664, 14.33511734008789]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,36.741503953933716,72,147562672128,435686,14.122903611924913,"[12.979198455810547, 13.557418823242188, 14.031227111816406, 14.059471130371094, 14.064155578613281, 14.069843292236328, 14.073741912841797, 14.078868865966797, 14.083885192871094, 14.087970733642578, 14.092475891113281, 14.097305297851562, 14.100639343261719, 14.105667114257812, 14.110404968261719, 14.114845275878906, 14.11956787109375, 14.123748779296875, 14.128719329833984, 14.132774353027344, 14.13846206665039, 14.141822814941406, 14.146240234375, 14.149276733398438, 14.154594421386719, 14.158626556396484, 14.163288116455078, 14.167549133300781, 14.171722412109375, 14.176033020019531, 14.241222381591797, 14.30270767211914, 14.363895416259766, 14.466812133789062, 14.576610565185547, 14.693737030029297]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,37.84649157524109,72,147562672128,435686,14.291838997288755,"[13.368087768554688, 13.947345733642578, 14.305889129638672, 14.306541442871094, 14.305927276611328, 14.305374145507812, 14.305561065673828, 14.305526733398438, 14.30618667602539, 14.30654525756836, 14.30752944946289, 14.30739974975586, 14.307136535644531, 14.307331085205078, 14.306373596191406, 14.305988311767578, 14.306392669677734, 14.306373596191406, 14.30636978149414, 14.306594848632812, 14.3037109375, 14.303516387939453, 14.303779602050781, 14.303997039794922, 14.30429458618164, 14.282001495361328, 14.281547546386719, 14.257755279541016, 14.258956909179688, 14.258777618408203, 14.368621826171875, 14.26968002319336, 14.255794525146484, 14.319721221923828, 14.414623260498047, 14.524482727050781, 14.595619201660156, 14.65252685546875]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,36.129724979400635,72,147562672128,435686,14.225930531819662,"[13.315544128417969, 13.894859313964844, 14.250823974609375, 14.250862121582031, 14.251083374023438, 14.251232147216797, 14.2509765625, 14.250316619873047, 14.250408172607422, 14.250190734863281, 14.250358581542969, 14.249927520751953, 14.227313995361328, 14.213371276855469, 14.213165283203125, 14.213298797607422, 14.213420867919922, 14.213237762451172, 14.213085174560547, 14.212940216064453, 14.212898254394531, 14.21282958984375, 14.212554931640625, 14.21219253540039, 14.2120361328125, 14.213207244873047, 14.213447570800781, 14.214141845703125, 14.215343475341797, 14.215824127197266, 14.299407958984375, 14.240581512451172, 14.357616424560547, 14.4549560546875, 14.552986145019531, 14.657058715820312]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,36.71469497680664,72,147562672128,435686,14.246993812354836,"[13.32210922241211, 13.904533386230469, 14.258586883544922, 14.258232116699219, 14.257881164550781, 14.257354736328125, 14.25711441040039, 14.257892608642578, 14.257892608642578, 14.258056640625, 14.257850646972656, 14.257774353027344, 14.257377624511719, 14.25735092163086, 14.257217407226562, 14.257438659667969, 14.247573852539062, 14.241325378417969, 14.237030029296875, 14.236457824707031, 14.236442565917969, 14.23638916015625, 14.236213684082031, 14.235824584960938, 14.235729217529297, 14.235881805419922, 14.235855102539062, 14.23598861694336, 14.235958099365234, 14.245075225830078, 14.297924041748047, 14.259300231933594, 14.299247741699219, 14.397846221923828, 14.498615264892578, 14.58099365234375, 14.638435363769531]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
ray,108921,4,36.641300201416016,72,147562672128,435686,14.226934221055773,"[13.308952331542969, 13.891681671142578, 14.241436004638672, 14.241241455078125, 14.24062728881836, 14.240192413330078, 14.240890502929688, 14.240631103515625, 14.240406036376953, 14.240161895751953, 14.240135192871094, 14.240123748779297, 14.240364074707031, 14.240531921386719, 14.240009307861328, 14.239246368408203, 14.239418029785156, 14.239372253417969, 14.239227294921875, 14.239311218261719, 14.239250183105469, 14.238754272460938, 14.232955932617188, 14.232711791992188, 14.204166412353516, 14.203926086425781, 14.203582763671875, 14.20357894897461, 14.203048706054688, 14.202945709228516, 14.292827606201172, 14.257877349853516, 14.332561492919922, 14.427253723144531, 14.525360107421875, 14.64487075805664]",ConstrainedSphericalDeconvModel,"(145, 174, 145, 288)"
